Indexing started : 2026-03-16 15:20:38.584491
Device           : cpu (FP32)
Batch size       : 10
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/4067 (10/40670) | decode:0.14s embed:0.33s db:0.13s total:0.46s | CPU:29% RAM:88% GPU:N/A | ETA:31m24s
batch 13/4067 (130/40670) | decode:0.11s embed:0.31s db:0.02s total:0.33s | CPU:74% RAM:88% GPU:N/A | ETA:23m35s
batch 14/4067 (140/40670) | decode:0.10s embed:0.32s db:0.02s total:0.34s | CPU:74% RAM:88% GPU:N/A | ETA:23m24s
batch 15/4067 (150/40670) | decode:0.12s embed:0.31s db:0.02s total:0.33s | CPU:79% RAM:88% GPU:N/A | ETA:23m9s
batch 16/4067 (160/40670) | decode:0.11s embed:0.30s db:0.02s total:0.32s | CPU:73% RAM:88% GPU:N/A | ETA:22m46s
batch 17/4067 (170/40670) | decode:0.10s embed:0.32s db:0.02s total:0.34s | CPU:67% RAM:88% GPU:N/A | ETA:22m50s
batch 18/4067 (180/40670) | decode:0.12s embed:0.30s db:0.02s total:0.33s | CPU:74% RAM:88% GPU:N/A | ETA:22m41s
batch 19/4067 (190/40670) | decode:0.09s embed:0.33s db:0.02s total:0.35s | CPU:74% RAM:88% GPU:N/A | ETA:22m48s
batch 20/4067 (200/40670) | decode:0.10s embed:0.32s db:0.03s total:0.35s | CPU:70% RAM:88% GPU:N/A | ETA:23m0s
batch 21/4067 (210/40670) | decode:0.12s embed:0.31s db:0.02s total:0.33s | CPU:78% RAM:88% GPU:N/A | ETA:22m51s
batch 22/4067 (220/40670) | decode:0.10s embed:0.31s db:0.02s total:0.33s | CPU:74% RAM:88% GPU:N/A | ETA:22m42s
batch 23/4067 (230/40670) | decode:0.09s embed:0.30s db:0.02s total:0.32s | CPU:73% RAM:88% GPU:N/A | ETA:22m29s
batch 24/4067 (240/40670) | decode:0.08s embed:0.30s db:0.02s total:0.32s | CPU:73% RAM:88% GPU:N/A | ETA:22m18s
batch 25/4067 (250/40670) | decode:0.10s embed:0.30s db:0.02s total:0.32s | CPU:73% RAM:88% GPU:N/A | ETA:22m10s
batch 26/4067 (260/40670) | decode:0.10s embed:0.31s db:0.02s total:0.33s | CPU:77% RAM:88% GPU:N/A | ETA:22m12s
batch 27/4067 (270/40670) | decode:0.09s embed:0.31s db:0.02s total:0.33s | CPU:73% RAM:88% GPU:N/A | ETA:22m11s
batch 28/4067 (280/40670) | decode:0.10s embed:0.31s db:0.02s total:0.33s | CPU:79% RAM:88% GPU:N/A | ETA:22m7s
batch 29/4067 (290/40670) | decode:0.09s embed:0.33s db:0.02s total:0.35s | CPU:83% RAM:88% GPU:N/A | ETA:22m22s
batch 30/4067 (300/40670) | decode:0.10s embed:0.31s db:0.02s total:0.33s | CPU:77% RAM:88% GPU:N/A | ETA:22m19s
batch 31/4067 (310/40670) | decode:0.11s embed:0.30s db:0.02s total:0.33s | CPU:78% RAM:88% GPU:N/A | ETA:22m13s
batch 32/4067 (320/40670) | decode:0.09s embed:0.31s db:0.02s total:0.33s | CPU:74% RAM:88% GPU:N/A | ETA:22m10s
batch 33/4067 (330/40670) | decode:0.12s embed:0.32s db:0.02s total:0.35s | CPU:75% RAM:88% GPU:N/A | ETA:22m24s
batch 34/4067 (340/40670) | decode:0.10s embed:0.38s db:0.02s total:0.40s | CPU:81% RAM:88% GPU:N/A | ETA:23m20s
batch 35/4067 (350/40670) | decode:0.10s embed:0.32s db:0.02s total:0.35s | CPU:72% RAM:88% GPU:N/A | ETA:23m20s
batch 36/4067 (360/40670) | decode:0.10s embed:0.36s db:0.03s total:0.38s | CPU:72% RAM:88% GPU:N/A | ETA:23m48s
batch 37/4067 (370/40670) | decode:0.12s embed:0.34s db:0.03s total:0.36s | CPU:66% RAM:88% GPU:N/A | ETA:23m53s
batch 38/4067 (380/40670) | decode:0.15s embed:0.34s db:0.03s total:0.37s | CPU:69% RAM:88% GPU:N/A | ETA:24m2s
batch 39/4067 (390/40670) | decode:0.11s embed:0.34s db:0.02s total:0.36s | CPU:71% RAM:88% GPU:N/A | ETA:24m2s
batch 40/4067 (400/40670) | decode:0.11s embed:0.31s db:0.02s total:0.34s | CPU:72% RAM:88% GPU:N/A | ETA:23m46s
batch 41/4067 (410/40670) | decode:0.13s embed:0.36s db:0.03s total:0.38s | CPU:68% RAM:88% GPU:N/A | ETA:24m10s
batch 42/4067 (420/40670) | decode:0.12s embed:0.33s db:0.02s total:0.35s | CPU:75% RAM:88% GPU:N/A | ETA:24m5s
batch 43/4067 (430/40670) | decode:0.11s embed:0.32s db:0.03s total:0.34s | CPU:74% RAM:88% GPU:N/A | ETA:23m52s
batch 44/4067 (440/40670) | decode:0.10s embed:0.32s db:0.03s total:0.35s | CPU:80% RAM:88% GPU:N/A | ETA:23m44s
batch 45/4067 (450/40670) | decode:0.13s embed:0.31s db:0.02s total:0.33s | CPU:67% RAM:88% GPU:N/A | ETA:23m27s
batch 46/4067 (460/40670) | decode:0.11s embed:0.33s db:0.02s total:0.35s | CPU:79% RAM:88% GPU:N/A | ETA:23m26s
batch 47/4067 (470/40670) | decode:0.12s embed:0.32s db:0.02s total:0.35s | CPU:72% RAM:88% GPU:N/A | ETA:23m23s
batch 48/4067 (480/40670) | decode:0.12s embed:0.32s db:0.02s total:0.34s | CPU:74% RAM:88% GPU:N/A | ETA:23m16s
batch 49/4067 (490/40670) | decode:0.09s embed:0.42s db:0.03s total:0.45s | CPU:72% RAM:88% GPU:N/A | ETA:24m37s
batch 50/4067 (500/40670) | decode:0.10s embed:0.32s db:0.03s total:0.35s | CPU:62% RAM:88% GPU:N/A | ETA:24m20s
batch 51/4067 (510/40670) | decode:0.12s embed:0.32s db:0.03s total:0.35s | CPU:64% RAM:88% GPU:N/A | ETA:24m7s
batch 52/4067 (520/40670) | decode:0.10s embed:0.35s db:0.03s total:0.37s | CPU:72% RAM:88% GPU:N/A | ETA:24m16s
batch 53/4067 (530/40670) | decode:0.14s embed:0.32s db:0.03s total:0.35s | CPU:69% RAM:88% GPU:N/A | ETA:24m4s
batch 54/4067 (540/40670) | decode:0.11s embed:0.31s db:0.03s total:0.34s | CPU:70% RAM:88% GPU:N/A | ETA:23m44s
batch 55/4067 (550/40670) | decode:0.11s embed:0.32s db:0.02s total:0.34s | CPU:74% RAM:88% GPU:N/A | ETA:23m31s
batch 56/4067 (560/40670) | decode:0.14s embed:0.32s db:0.02s total:0.35s | CPU:69% RAM:88% GPU:N/A | ETA:23m25s
batch 57/4067 (570/40670) | decode:0.12s embed:0.32s db:0.03s total:0.34s | CPU:75% RAM:88% GPU:N/A | ETA:23m19s
batch 58/4067 (580/40670) | decode:0.10s embed:0.32s db:0.02s total:0.34s | CPU:68% RAM:88% GPU:N/A | ETA:23m10s
batch 59/4067 (590/40670) | decode:0.11s embed:0.33s db:0.03s total:0.36s | CPU:68% RAM:88% GPU:N/A | ETA:23m24s
batch 60/4067 (600/40670) | decode:0.10s embed:0.33s db:0.04s total:0.37s | CPU:66% RAM:88% GPU:N/A | ETA:23m37s
batch 61/4067 (610/40670) | decode:0.11s embed:0.33s db:0.09s total:0.42s | CPU:58% RAM:88% GPU:N/A | ETA:24m31s
batch 62/4067 (620/40670) | decode:0.11s embed:0.32s db:0.03s total:0.35s | CPU:49% RAM:88% GPU:N/A | ETA:24m16s
batch 63/4067 (630/40670) | decode:0.12s embed:0.34s db:0.01s total:0.36s | CPU:63% RAM:88% GPU:N/A | ETA:24m10s
batch 64/4067 (640/40670) | decode:0.13s embed:0.32s db:0.01s total:0.33s | CPU:61% RAM:88% GPU:N/A | ETA:23m47s
batch 65/4067 (650/40670) | decode:0.14s embed:0.34s db:0.03s total:0.37s | CPU:70% RAM:88% GPU:N/A | ETA:23m58s
batch 66/4067 (660/40670) | decode:0.10s embed:0.34s db:0.03s total:0.37s | CPU:68% RAM:88% GPU:N/A | ETA:24m8s
batch 67/4067 (670/40670) | decode:0.12s embed:0.34s db:0.03s total:0.37s | CPU:61% RAM:88% GPU:N/A | ETA:24m14s
batch 68/4067 (680/40670) | decode:0.10s embed:0.34s db:0.01s total:0.35s | CPU:66% RAM:88% GPU:N/A | ETA:24m1s
batch 69/4067 (690/40670) | decode:0.12s embed:0.32s db:0.01s total:0.33s | CPU:75% RAM:88% GPU:N/A | ETA:23m35s
batch 70/4067 (700/40670) | decode:0.13s embed:0.33s db:0.03s total:0.36s | CPU:85% RAM:88% GPU:N/A | ETA:23m40s
batch 71/4067 (710/40670) | decode:0.14s embed:0.34s db:0.03s total:0.37s | CPU:76% RAM:88% GPU:N/A | ETA:23m51s
batch 72/4067 (720/40670) | decode:0.12s embed:0.35s db:0.03s total:0.38s | CPU:64% RAM:88% GPU:N/A | ETA:24m10s
batch 73/4067 (730/40670) | decode:0.11s embed:0.35s db:0.03s total:0.38s | CPU:58% RAM:88% GPU:N/A | ETA:24m26s
batch 74/4067 (740/40670) | decode:0.12s embed:0.35s db:0.03s total:0.38s | CPU:62% RAM:88% GPU:N/A | ETA:24m37s
batch 75/4067 (750/40670) | decode:0.13s embed:0.35s db:0.01s total:0.36s | CPU:65% RAM:88% GPU:N/A | ETA:24m30s
batch 76/4067 (760/40670) | decode:0.13s embed:0.33s db:0.03s total:0.36s | CPU:54% RAM:88% GPU:N/A | ETA:24m25s
batch 77/4067 (770/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:80% RAM:88% GPU:N/A | ETA:24m35s
batch 78/4067 (780/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:69% RAM:88% GPU:N/A | ETA:24m40s
batch 79/4067 (790/40670) | decode:0.13s embed:0.35s db:0.02s total:0.37s | CPU:74% RAM:88% GPU:N/A | ETA:24m40s
batch 80/4067 (800/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:73% RAM:88% GPU:N/A | ETA:24m51s
batch 81/4067 (810/40670) | decode:0.11s embed:0.37s db:0.02s total:0.38s | CPU:84% RAM:88% GPU:N/A | ETA:24m58s
batch 82/4067 (820/40670) | decode:0.10s embed:0.37s db:0.02s total:0.39s | CPU:81% RAM:88% GPU:N/A | ETA:25m5s
batch 83/4067 (830/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:79% RAM:88% GPU:N/A | ETA:25m15s
batch 84/4067 (840/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:80% RAM:88% GPU:N/A | ETA:25m20s
batch 85/4067 (850/40670) | decode:0.12s embed:0.38s db:0.02s total:0.40s | CPU:77% RAM:88% GPU:N/A | ETA:25m33s
batch 86/4067 (860/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:83% RAM:88% GPU:N/A | ETA:25m33s
batch 87/4067 (870/40670) | decode:0.12s embed:0.38s db:0.02s total:0.40s | CPU:79% RAM:88% GPU:N/A | ETA:25m45s
batch 88/4067 (880/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:86% RAM:88% GPU:N/A | ETA:25m46s
batch 89/4067 (890/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:75% RAM:88% GPU:N/A | ETA:25m45s
batch 90/4067 (900/40670) | decode:0.12s embed:0.39s db:0.02s total:0.41s | CPU:77% RAM:88% GPU:N/A | ETA:26m3s
batch 91/4067 (910/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:86% RAM:88% GPU:N/A | ETA:25m56s
batch 92/4067 (920/40670) | decode:0.12s embed:0.38s db:0.02s total:0.40s | CPU:82% RAM:88% GPU:N/A | ETA:26m1s
batch 93/4067 (930/40670) | decode:0.12s embed:0.36s db:0.02s total:0.39s | CPU:74% RAM:88% GPU:N/A | ETA:25m55s
batch 94/4067 (940/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:78% RAM:88% GPU:N/A | ETA:25m52s
batch 95/4067 (950/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:79% RAM:88% GPU:N/A | ETA:25m52s
batch 96/4067 (960/40670) | decode:0.15s embed:0.37s db:0.02s total:0.39s | CPU:81% RAM:88% GPU:N/A | ETA:25m49s
batch 97/4067 (970/40670) | decode:0.13s embed:0.36s db:0.02s total:0.39s | CPU:77% RAM:88% GPU:N/A | ETA:25m44s
batch 98/4067 (980/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:80% RAM:88% GPU:N/A | ETA:25m47s
batch 99/4067 (990/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:75% RAM:88% GPU:N/A | ETA:25m42s
batch 100/4067 (1000/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:83% RAM:88% GPU:N/A | ETA:25m49s
batch 101/4067 (1010/40670) | decode:0.13s embed:0.40s db:0.02s total:0.42s | CPU:72% RAM:88% GPU:N/A | ETA:26m13s
batch 102/4067 (1020/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:77% RAM:88% GPU:N/A | ETA:26m13s
batch 103/4067 (1030/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:79% RAM:88% GPU:N/A | ETA:26m11s
batch 104/4067 (1040/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:79% RAM:88% GPU:N/A | ETA:26m11s
batch 105/4067 (1050/40670) | decode:0.15s embed:0.37s db:0.02s total:0.40s | CPU:79% RAM:88% GPU:N/A | ETA:26m10s
batch 106/4067 (1060/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:78% RAM:88% GPU:N/A | ETA:26m0s
batch 107/4067 (1070/40670) | decode:0.11s embed:0.37s db:0.02s total:0.40s | CPU:78% RAM:88% GPU:N/A | ETA:26m2s
batch 108/4067 (1080/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:80% RAM:88% GPU:N/A | ETA:25m56s
batch 109/4067 (1090/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:81% RAM:88% GPU:N/A | ETA:25m54s
batch 110/4067 (1100/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:83% RAM:88% GPU:N/A | ETA:25m59s
batch 111/4067 (1110/40670) | decode:0.12s embed:0.37s db:0.02s total:0.40s | CPU:81% RAM:88% GPU:N/A | ETA:26m1s
batch 112/4067 (1120/40670) | decode:0.10s embed:0.41s db:0.02s total:0.43s | CPU:87% RAM:88% GPU:N/A | ETA:26m30s
batch 113/4067 (1130/40670) | decode:0.12s embed:0.44s db:0.03s total:0.47s | CPU:80% RAM:88% GPU:N/A | ETA:27m21s
batch 114/4067 (1140/40670) | decode:0.12s embed:0.43s db:0.03s total:0.46s | CPU:77% RAM:88% GPU:N/A | ETA:27m57s
batch 115/4067 (1150/40670) | decode:0.13s embed:0.43s db:0.02s total:0.45s | CPU:85% RAM:88% GPU:N/A | ETA:28m20s
batch 116/4067 (1160/40670) | decode:0.13s embed:0.41s db:0.03s total:0.43s | CPU:77% RAM:88% GPU:N/A | ETA:28m21s
batch 117/4067 (1170/40670) | decode:0.16s embed:0.44s db:0.03s total:0.46s | CPU:75% RAM:88% GPU:N/A | ETA:28m47s
batch 118/4067 (1180/40670) | decode:0.15s embed:0.44s db:0.03s total:0.47s | CPU:88% RAM:88% GPU:N/A | ETA:29m11s
batch 119/4067 (1190/40670) | decode:0.14s embed:0.42s db:0.03s total:0.45s | CPU:81% RAM:88% GPU:N/A | ETA:29m18s
batch 120/4067 (1200/40670) | decode:0.11s embed:0.42s db:0.03s total:0.45s | CPU:81% RAM:88% GPU:N/A | ETA:29m19s
batch 121/4067 (1210/40670) | decode:0.13s embed:0.42s db:0.03s total:0.45s | CPU:81% RAM:88% GPU:N/A | ETA:29m21s
batch 122/4067 (1220/40670) | decode:0.14s embed:0.42s db:0.03s total:0.44s | CPU:81% RAM:88% GPU:N/A | ETA:29m18s
batch 123/4067 (1230/40670) | decode:0.14s embed:0.44s db:0.02s total:0.46s | CPU:89% RAM:88% GPU:N/A | ETA:29m29s
batch 124/4067 (1240/40670) | decode:0.14s embed:0.39s db:0.02s total:0.41s | CPU:85% RAM:88% GPU:N/A | ETA:28m59s
batch 125/4067 (1250/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:77% RAM:88% GPU:N/A | ETA:28m13s
batch 126/4067 (1260/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:76% RAM:88% GPU:N/A | ETA:27m41s
batch 127/4067 (1270/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:71% RAM:88% GPU:N/A | ETA:27m12s
batch 128/4067 (1280/40670) | decode:0.12s embed:0.35s db:0.02s total:0.38s | CPU:69% RAM:88% GPU:N/A | ETA:26m42s
batch 129/4067 (1290/40670) | decode:0.11s embed:0.39s db:0.03s total:0.42s | CPU:76% RAM:88% GPU:N/A | ETA:26m49s
batch 130/4067 (1300/40670) | decode:0.11s embed:0.46s db:0.02s total:0.49s | CPU:72% RAM:88% GPU:N/A | ETA:27m50s
batch 131/4067 (1310/40670) | decode:0.12s embed:0.38s db:0.03s total:0.41s | CPU:74% RAM:88% GPU:N/A | ETA:27m40s
batch 132/4067 (1320/40670) | decode:0.10s embed:0.46s db:0.03s total:0.48s | CPU:76% RAM:88% GPU:N/A | ETA:28m29s
batch 133/4067 (1330/40670) | decode:0.11s embed:0.52s db:0.04s total:0.56s | CPU:72% RAM:88% GPU:N/A | ETA:30m10s
batch 134/4067 (1340/40670) | decode:0.18s embed:0.36s db:0.04s total:0.40s | CPU:64% RAM:88% GPU:N/A | ETA:29m22s
batch 135/4067 (1350/40670) | decode:0.12s embed:0.41s db:0.04s total:0.46s | CPU:64% RAM:88% GPU:N/A | ETA:29m29s
batch 136/4067 (1360/40670) | decode:0.16s embed:0.40s db:0.04s total:0.44s | CPU:60% RAM:88% GPU:N/A | ETA:29m23s
batch 137/4067 (1370/40670) | decode:0.17s embed:0.44s db:0.04s total:0.48s | CPU:67% RAM:88% GPU:N/A | ETA:29m47s
batch 138/4067 (1380/40670) | decode:0.14s embed:0.37s db:0.02s total:0.40s | CPU:70% RAM:88% GPU:N/A | ETA:29m2s
batch 139/4067 (1390/40670) | decode:0.12s embed:0.35s db:0.04s total:0.38s | CPU:58% RAM:88% GPU:N/A | ETA:28m14s
batch 140/4067 (1400/40670) | decode:0.15s embed:0.37s db:0.04s total:0.41s | CPU:61% RAM:88% GPU:N/A | ETA:27m57s
batch 141/4067 (1410/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:63% RAM:88% GPU:N/A | ETA:27m27s
batch 142/4067 (1420/40670) | decode:0.13s embed:0.36s db:0.04s total:0.40s | CPU:66% RAM:88% GPU:N/A | ETA:27m8s
batch 143/4067 (1430/40670) | decode:0.12s embed:0.42s db:0.02s total:0.44s | CPU:72% RAM:88% GPU:N/A | ETA:27m26s
batch 144/4067 (1440/40670) | decode:0.14s embed:0.35s db:0.04s total:0.39s | CPU:63% RAM:88% GPU:N/A | ETA:27m2s
batch 145/4067 (1450/40670) | decode:0.13s embed:0.37s db:0.06s total:0.43s | CPU:57% RAM:88% GPU:N/A | ETA:27m14s
batch 146/4067 (1460/40670) | decode:0.14s embed:0.38s db:0.05s total:0.43s | CPU:79% RAM:88% GPU:N/A | ETA:27m27s
batch 147/4067 (1470/40670) | decode:0.15s embed:0.44s db:0.05s total:0.49s | CPU:69% RAM:88% GPU:N/A | ETA:28m18s
batch 148/4067 (1480/40670) | decode:0.12s embed:0.36s db:0.04s total:0.40s | CPU:66% RAM:88% GPU:N/A | ETA:27m52s
batch 149/4067 (1490/40670) | decode:0.15s embed:0.36s db:0.03s total:0.39s | CPU:64% RAM:88% GPU:N/A | ETA:27m22s
batch 150/4067 (1500/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:67% RAM:88% GPU:N/A | ETA:26m56s
batch 151/4067 (1510/40670) | decode:0.13s embed:0.35s db:0.02s total:0.38s | CPU:65% RAM:88% GPU:N/A | ETA:26m27s
batch 152/4067 (1520/40670) | decode:0.12s embed:0.52s db:0.04s total:0.56s | CPU:77% RAM:88% GPU:N/A | ETA:28m26s
batch 153/4067 (1530/40670) | decode:0.12s embed:0.46s db:0.03s total:0.50s | CPU:88% RAM:89% GPU:N/A | ETA:29m12s
batch 154/4067 (1540/40670) | decode:0.11s embed:0.41s db:0.03s total:0.45s | CPU:85% RAM:89% GPU:N/A | ETA:29m13s
batch 155/4067 (1550/40670) | decode:0.11s embed:0.39s db:0.03s total:0.42s | CPU:83% RAM:89% GPU:N/A | ETA:28m51s
batch 156/4067 (1560/40670) | decode:0.18s embed:0.86s db:0.03s total:0.89s | CPU:84% RAM:89% GPU:N/A | ETA:34m43s
batch 157/4067 (1570/40670) | decode:0.18s embed:0.48s db:0.03s total:0.52s | CPU:86% RAM:89% GPU:N/A | ETA:34m30s
batch 158/4067 (1580/40670) | decode:0.13s embed:0.43s db:0.03s total:0.46s | CPU:88% RAM:90% GPU:N/A | ETA:33m38s
batch 159/4067 (1590/40670) | decode:0.11s embed:0.43s db:0.03s total:0.46s | CPU:89% RAM:90% GPU:N/A | ETA:32m55s
batch 160/4067 (1600/40670) | decode:0.22s embed:0.41s db:0.04s total:0.45s | CPU:88% RAM:89% GPU:N/A | ETA:32m9s
batch 161/4067 (1610/40670) | decode:0.16s embed:0.54s db:0.14s total:0.68s | CPU:68% RAM:87% GPU:N/A | ETA:34m36s
batch 162/4067 (1620/40670) | decode:0.14s embed:0.47s db:0.02s total:0.49s | CPU:73% RAM:87% GPU:N/A | ETA:34m3s
batch 163/4067 (1630/40670) | decode:0.15s embed:0.59s db:0.02s total:0.61s | CPU:79% RAM:88% GPU:N/A | ETA:35m12s
batch 164/4067 (1640/40670) | decode:0.16s embed:0.82s db:0.02s total:0.84s | CPU:82% RAM:88% GPU:N/A | ETA:39m4s
batch 165/4067 (1650/40670) | decode:0.15s embed:0.54s db:0.02s total:0.56s | CPU:73% RAM:88% GPU:N/A | ETA:38m33s
batch 166/4067 (1660/40670) | decode:0.13s embed:0.67s db:0.02s total:0.69s | CPU:80% RAM:88% GPU:N/A | ETA:39m48s
batch 167/4067 (1670/40670) | decode:0.18s embed:0.43s db:0.02s total:0.45s | CPU:66% RAM:88% GPU:N/A | ETA:37m37s
batch 168/4067 (1680/40670) | decode:0.22s embed:0.37s db:0.02s total:0.39s | CPU:75% RAM:88% GPU:N/A | ETA:35m9s
batch 169/4067 (1690/40670) | decode:0.14s embed:0.39s db:0.02s total:0.41s | CPU:70% RAM:88% GPU:N/A | ETA:33m27s
batch 170/4067 (1700/40670) | decode:0.24s embed:0.39s db:0.02s total:0.41s | CPU:79% RAM:88% GPU:N/A | ETA:32m2s
batch 171/4067 (1710/40670) | decode:0.14s embed:0.37s db:0.02s total:0.38s | CPU:82% RAM:88% GPU:N/A | ETA:30m37s
batch 172/4067 (1720/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:85% RAM:88% GPU:N/A | ETA:29m30s
batch 173/4067 (1730/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:86% RAM:88% GPU:N/A | ETA:28m44s
batch 174/4067 (1740/40670) | decode:0.14s embed:0.41s db:0.02s total:0.43s | CPU:81% RAM:88% GPU:N/A | ETA:28m33s
batch 175/4067 (1750/40670) | decode:0.14s embed:0.40s db:0.02s total:0.42s | CPU:75% RAM:88% GPU:N/A | ETA:28m17s
batch 176/4067 (1760/40670) | decode:0.12s embed:0.41s db:0.02s total:0.44s | CPU:70% RAM:88% GPU:N/A | ETA:28m17s
batch 177/4067 (1770/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:67% RAM:88% GPU:N/A | ETA:27m51s
batch 178/4067 (1780/40670) | decode:0.14s embed:0.41s db:0.02s total:0.43s | CPU:65% RAM:88% GPU:N/A | ETA:27m51s
batch 179/4067 (1790/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:70% RAM:88% GPU:N/A | ETA:27m23s
batch 180/4067 (1800/40670) | decode:0.17s embed:0.39s db:0.02s total:0.41s | CPU:77% RAM:88% GPU:N/A | ETA:27m13s
batch 181/4067 (1810/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:70% RAM:88% GPU:N/A | ETA:26m55s
batch 182/4067 (1820/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:72% RAM:88% GPU:N/A | ETA:26m29s
batch 183/4067 (1830/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:74% RAM:88% GPU:N/A | ETA:26m14s
batch 184/4067 (1840/40670) | decode:0.15s embed:0.38s db:0.02s total:0.40s | CPU:74% RAM:88% GPU:N/A | ETA:26m7s
batch 185/4067 (1850/40670) | decode:0.13s embed:0.38s db:0.04s total:0.42s | CPU:60% RAM:88% GPU:N/A | ETA:26m19s
batch 186/4067 (1860/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:70% RAM:88% GPU:N/A | ETA:26m2s
batch 187/4067 (1870/40670) | decode:0.13s embed:0.41s db:0.02s total:0.44s | CPU:75% RAM:88% GPU:N/A | ETA:26m28s
batch 188/4067 (1880/40670) | decode:0.13s embed:0.37s db:0.02s total:0.38s | CPU:69% RAM:88% GPU:N/A | ETA:26m8s
batch 189/4067 (1890/40670) | decode:0.11s embed:0.35s db:0.02s total:0.37s | CPU:66% RAM:88% GPU:N/A | ETA:25m43s
batch 190/4067 (1900/40670) | decode:0.12s embed:0.39s db:0.02s total:0.41s | CPU:73% RAM:88% GPU:N/A | ETA:25m53s
