Indexing started : 2026-03-16 16:11:45.977574
Device           : cpu (FP32)
Batch size       : 50
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/814 (50/40670) | decode:0.35s embed:1.47s db:0.12s total:1.59s | CPU:25% RAM:88% GPU:N/A | ETA:21m34s
batch 15/814 (750/40670) | decode:0.70s embed:1.45s db:0.03s total:1.48s | CPU:79% RAM:88% GPU:N/A | ETA:20m5s
batch 16/814 (800/40670) | decode:0.76s embed:1.52s db:0.05s total:1.58s | CPU:78% RAM:88% GPU:N/A | ETA:20m14s
batch 17/814 (850/40670) | decode:0.70s embed:1.96s db:0.04s total:2.00s | CPU:80% RAM:88% GPU:N/A | ETA:21m29s
batch 18/814 (900/40670) | decode:0.62s embed:1.59s db:0.05s total:1.64s | CPU:79% RAM:88% GPU:N/A | ETA:21m31s
batch 19/814 (950/40670) | decode:0.70s embed:1.61s db:0.02s total:1.63s | CPU:74% RAM:88% GPU:N/A | ETA:21m31s
batch 20/814 (1000/40670) | decode:0.68s embed:1.61s db:0.07s total:1.68s | CPU:69% RAM:88% GPU:N/A | ETA:21m38s
batch 21/814 (1050/40670) | decode:1.29s embed:1.58s db:0.01s total:1.59s | CPU:70% RAM:88% GPU:N/A | ETA:21m29s
batch 22/814 (1100/40670) | decode:0.63s embed:1.77s db:0.02s total:1.79s | CPU:78% RAM:87% GPU:N/A | ETA:21m54s
batch 23/814 (1150/40670) | decode:0.84s embed:1.55s db:0.05s total:1.60s | CPU:69% RAM:87% GPU:N/A | ETA:21m42s
batch 24/814 (1200/40670) | decode:0.74s embed:1.56s db:0.02s total:1.59s | CPU:75% RAM:87% GPU:N/A | ETA:21m31s
batch 25/814 (1250/40670) | decode:0.85s embed:1.55s db:0.02s total:1.57s | CPU:79% RAM:87% GPU:N/A | ETA:21m19s
batch 26/814 (1300/40670) | decode:0.98s embed:1.58s db:0.01s total:1.59s | CPU:70% RAM:87% GPU:N/A | ETA:21m12s
batch 27/814 (1350/40670) | decode:0.73s embed:1.61s db:0.02s total:1.63s | CPU:79% RAM:87% GPU:N/A | ETA:21m13s
batch 28/814 (1400/40670) | decode:0.64s embed:1.53s db:0.03s total:1.56s | CPU:68% RAM:87% GPU:N/A | ETA:21m2s
batch 29/814 (1450/40670) | decode:0.64s embed:1.51s db:0.04s total:1.56s | CPU:74% RAM:87% GPU:N/A | ETA:20m53s
batch 30/814 (1500/40670) | decode:0.80s embed:1.56s db:0.02s total:1.58s | CPU:78% RAM:87% GPU:N/A | ETA:20m49s
batch 31/814 (1550/40670) | decode:0.72s embed:1.52s db:0.03s total:1.55s | CPU:74% RAM:87% GPU:N/A | ETA:20m40s
batch 32/814 (1600/40670) | decode:0.71s embed:1.51s db:0.04s total:1.54s | CPU:75% RAM:87% GPU:N/A | ETA:20m32s
batch 33/814 (1650/40670) | decode:0.58s embed:1.50s db:0.05s total:1.55s | CPU:76% RAM:87% GPU:N/A | ETA:20m27s
batch 34/814 (1700/40670) | decode:0.60s embed:1.51s db:0.04s total:1.55s | CPU:76% RAM:87% GPU:N/A | ETA:20m22s
batch 35/814 (1750/40670) | decode:0.62s embed:1.49s db:0.05s total:1.53s | CPU:70% RAM:87% GPU:N/A | ETA:20m15s
batch 36/814 (1800/40670) | decode:0.60s embed:1.50s db:0.05s total:1.55s | CPU:69% RAM:87% GPU:N/A | ETA:20m12s
batch 37/814 (1850/40670) | decode:0.59s embed:1.55s db:0.02s total:1.57s | CPU:70% RAM:87% GPU:N/A | ETA:20m12s
batch 38/814 (1900/40670) | decode:0.62s embed:1.50s db:0.03s total:1.53s | CPU:70% RAM:87% GPU:N/A | ETA:20m6s
batch 39/814 (1950/40670) | decode:0.73s embed:1.50s db:0.03s total:1.53s | CPU:75% RAM:87% GPU:N/A | ETA:20m0s
batch 40/814 (2000/40670) | decode:0.74s embed:1.59s db:0.06s total:1.65s | CPU:73% RAM:87% GPU:N/A | ETA:20m15s
batch 41/814 (2050/40670) | decode:0.84s embed:1.52s db:0.04s total:1.56s | CPU:72% RAM:87% GPU:N/A | ETA:20m11s
batch 42/814 (2100/40670) | decode:0.71s embed:1.54s db:0.05s total:1.59s | CPU:69% RAM:87% GPU:N/A | ETA:20m13s
batch 43/814 (2150/40670) | decode:0.61s embed:1.52s db:0.03s total:1.56s | CPU:75% RAM:87% GPU:N/A | ETA:20m9s
batch 44/814 (2200/40670) | decode:0.70s embed:1.52s db:0.02s total:1.55s | CPU:65% RAM:87% GPU:N/A | ETA:20m4s
batch 45/814 (2250/40670) | decode:0.75s embed:1.59s db:0.01s total:1.61s | CPU:71% RAM:87% GPU:N/A | ETA:20m9s
batch 46/814 (2300/40670) | decode:0.71s embed:1.53s db:0.02s total:1.56s | CPU:68% RAM:87% GPU:N/A | ETA:20m5s
batch 47/814 (2350/40670) | decode:0.73s embed:1.56s db:0.03s total:1.59s | CPU:76% RAM:87% GPU:N/A | ETA:20m6s
batch 48/814 (2400/40670) | decode:0.78s embed:1.52s db:0.05s total:1.57s | CPU:76% RAM:87% GPU:N/A | ETA:20m5s
batch 49/814 (2450/40670) | decode:0.85s embed:1.48s db:0.05s total:1.53s | CPU:75% RAM:87% GPU:N/A | ETA:19m57s
batch 50/814 (2500/40670) | decode:0.68s embed:1.54s db:0.02s total:1.56s | CPU:78% RAM:87% GPU:N/A | ETA:19m54s
batch 51/814 (2550/40670) | decode:0.68s embed:1.52s db:0.03s total:1.55s | CPU:77% RAM:87% GPU:N/A | ETA:19m50s
batch 52/814 (2600/40670) | decode:0.62s embed:1.49s db:0.04s total:1.53s | CPU:75% RAM:87% GPU:N/A | ETA:19m44s
batch 53/814 (2650/40670) | decode:0.61s embed:1.54s db:0.02s total:1.55s | CPU:75% RAM:87% GPU:N/A | ETA:19m42s
batch 54/814 (2700/40670) | decode:0.60s embed:1.54s db:0.05s total:1.60s | CPU:74% RAM:87% GPU:N/A | ETA:19m47s
batch 55/814 (2750/40670) | decode:0.59s embed:1.49s db:0.02s total:1.52s | CPU:74% RAM:87% GPU:N/A | ETA:19m39s
batch 56/814 (2800/40670) | decode:0.60s embed:1.51s db:0.04s total:1.55s | CPU:70% RAM:87% GPU:N/A | ETA:19m36s
batch 57/814 (2850/40670) | decode:0.67s embed:1.54s db:0.04s total:1.58s | CPU:76% RAM:87% GPU:N/A | ETA:19m39s
batch 58/814 (2900/40670) | decode:0.81s embed:1.52s db:0.02s total:1.55s | CPU:76% RAM:87% GPU:N/A | ETA:19m36s
batch 59/814 (2950/40670) | decode:0.62s embed:1.52s db:0.02s total:1.55s | CPU:75% RAM:87% GPU:N/A | ETA:19m33s
batch 60/814 (3000/40670) | decode:0.76s embed:1.66s db:0.09s total:1.75s | CPU:82% RAM:87% GPU:N/A | ETA:20m0s
batch 61/814 (3050/40670) | decode:0.59s embed:1.59s db:0.04s total:1.63s | CPU:76% RAM:87% GPU:N/A | ETA:20m4s
batch 62/814 (3100/40670) | decode:0.64s embed:1.57s db:0.02s total:1.59s | CPU:75% RAM:87% GPU:N/A | ETA:20m1s
batch 63/814 (3150/40670) | decode:0.63s embed:1.51s db:0.03s total:1.54s | CPU:70% RAM:87% GPU:N/A | ETA:19m52s
batch 64/814 (3200/40670) | decode:0.75s embed:1.62s db:0.03s total:1.65s | CPU:75% RAM:87% GPU:N/A | ETA:19m59s
batch 65/814 (3250/40670) | decode:0.83s embed:1.51s db:0.03s total:1.54s | CPU:70% RAM:87% GPU:N/A | ETA:19m49s
batch 66/814 (3300/40670) | decode:0.66s embed:1.51s db:0.04s total:1.55s | CPU:69% RAM:87% GPU:N/A | ETA:19m42s
batch 67/814 (3350/40670) | decode:0.74s embed:1.58s db:0.03s total:1.62s | CPU:69% RAM:87% GPU:N/A | ETA:19m46s
batch 68/814 (3400/40670) | decode:0.96s embed:1.55s db:0.01s total:1.56s | CPU:69% RAM:87% GPU:N/A | ETA:19m41s
batch 69/814 (3450/40670) | decode:0.71s embed:1.56s db:0.02s total:1.58s | CPU:69% RAM:87% GPU:N/A | ETA:19m38s
batch 70/814 (3500/40670) | decode:0.76s embed:1.55s db:0.02s total:1.57s | CPU:76% RAM:87% GPU:N/A | ETA:19m35s
batch 71/814 (3550/40670) | decode:0.77s embed:1.50s db:0.03s total:1.54s | CPU:74% RAM:87% GPU:N/A | ETA:19m27s
batch 72/814 (3600/40670) | decode:0.73s embed:1.53s db:0.04s total:1.57s | CPU:72% RAM:87% GPU:N/A | ETA:19m26s
batch 73/814 (3650/40670) | decode:0.75s embed:1.50s db:0.04s total:1.53s | CPU:71% RAM:87% GPU:N/A | ETA:19m19s
batch 74/814 (3700/40670) | decode:0.61s embed:1.54s db:0.03s total:1.57s | CPU:78% RAM:87% GPU:N/A | ETA:19m18s
batch 75/814 (3750/40670) | decode:0.63s embed:1.50s db:0.03s total:1.53s | CPU:73% RAM:87% GPU:N/A | ETA:19m11s
batch 76/814 (3800/40670) | decode:0.63s embed:1.50s db:0.03s total:1.53s | CPU:75% RAM:87% GPU:N/A | ETA:19m6s
batch 77/814 (3850/40670) | decode:0.68s embed:1.55s db:0.02s total:1.58s | CPU:76% RAM:87% GPU:N/A | ETA:19m8s
batch 78/814 (3900/40670) | decode:0.72s embed:1.51s db:0.04s total:1.55s | CPU:75% RAM:87% GPU:N/A | ETA:19m5s
batch 79/814 (3950/40670) | decode:0.64s embed:1.49s db:0.05s total:1.54s | CPU:72% RAM:87% GPU:N/A | ETA:19m1s
batch 80/814 (4000/40670) | decode:0.64s embed:1.52s db:0.06s total:1.59s | CPU:79% RAM:87% GPU:N/A | ETA:19m4s
batch 81/814 (4050/40670) | decode:0.66s embed:1.51s db:0.04s total:1.55s | CPU:71% RAM:87% GPU:N/A | ETA:19m1s
batch 82/814 (4100/40670) | decode:0.61s embed:1.48s db:0.05s total:1.53s | CPU:76% RAM:87% GPU:N/A | ETA:18m55s
batch 83/814 (4150/40670) | decode:0.63s embed:1.50s db:0.05s total:1.55s | CPU:76% RAM:87% GPU:N/A | ETA:18m53s
batch 84/814 (4200/40670) | decode:0.62s embed:1.67s db:0.04s total:1.71s | CPU:77% RAM:87% GPU:N/A | ETA:19m15s
batch 85/814 (4250/40670) | decode:0.63s embed:1.58s db:0.10s total:1.68s | CPU:72% RAM:87% GPU:N/A | ETA:19m28s
batch 86/814 (4300/40670) | decode:0.62s embed:2.31s db:0.07s total:2.39s | CPU:84% RAM:88% GPU:N/A | ETA:21m20s
batch 87/814 (4350/40670) | decode:0.61s embed:2.34s db:0.06s total:2.41s | CPU:84% RAM:88% GPU:N/A | ETA:22m52s
batch 88/814 (4400/40670) | decode:0.75s embed:2.26s db:0.06s total:2.32s | CPU:75% RAM:89% GPU:N/A | ETA:23m53s
batch 89/814 (4450/40670) | decode:0.77s embed:1.74s db:0.03s total:1.77s | CPU:76% RAM:88% GPU:N/A | ETA:23m22s
batch 90/814 (4500/40670) | decode:1.26s embed:1.76s db:0.03s total:1.79s | CPU:72% RAM:88% GPU:N/A | ETA:22m59s
batch 91/814 (4550/40670) | decode:1.45s embed:1.68s db:0.04s total:1.73s | CPU:68% RAM:88% GPU:N/A | ETA:22m32s
batch 92/814 (4600/40670) | decode:1.39s embed:1.66s db:0.06s total:1.71s | CPU:81% RAM:87% GPU:N/A | ETA:22m7s
batch 93/814 (4650/40670) | decode:0.90s embed:1.69s db:0.04s total:1.74s | CPU:82% RAM:86% GPU:N/A | ETA:21m50s
batch 94/814 (4700/40670) | decode:0.89s embed:1.67s db:0.04s total:1.71s | CPU:80% RAM:86% GPU:N/A | ETA:21m32s
batch 95/814 (4750/40670) | decode:0.80s embed:1.63s db:0.05s total:1.68s | CPU:75% RAM:86% GPU:N/A | ETA:21m13s
batch 96/814 (4800/40670) | decode:0.64s embed:1.94s db:0.05s total:1.99s | CPU:78% RAM:87% GPU:N/A | ETA:21m42s
batch 97/814 (4850/40670) | decode:0.78s embed:1.94s db:0.05s total:1.99s | CPU:87% RAM:87% GPU:N/A | ETA:22m6s
batch 98/814 (4900/40670) | decode:0.73s embed:1.74s db:0.05s total:1.78s | CPU:80% RAM:87% GPU:N/A | ETA:21m55s
batch 99/814 (4950/40670) | decode:0.61s embed:1.86s db:0.05s total:1.91s | CPU:84% RAM:87% GPU:N/A | ETA:22m3s
batch 100/814 (5000/40670) | decode:1.15s embed:1.78s db:0.09s total:1.87s | CPU:81% RAM:87% GPU:N/A | ETA:22m5s
batch 101/814 (5050/40670) | decode:0.90s embed:1.76s db:0.05s total:1.81s | CPU:83% RAM:87% GPU:N/A | ETA:21m57s
batch 102/814 (5100/40670) | decode:0.92s embed:1.71s db:0.03s total:1.74s | CPU:73% RAM:87% GPU:N/A | ETA:21m39s
batch 103/814 (5150/40670) | decode:0.79s embed:1.68s db:0.02s total:1.70s | CPU:75% RAM:87% GPU:N/A | ETA:21m19s
batch 104/814 (5200/40670) | decode:0.92s embed:1.68s db:0.04s total:1.74s | CPU:80% RAM:87% GPU:N/A | ETA:21m8s
batch 105/814 (5250/40670) | decode:0.91s embed:1.71s db:0.03s total:1.74s | CPU:74% RAM:87% GPU:N/A | ETA:20m59s
batch 106/814 (5300/40670) | decode:0.94s embed:1.99s db:0.02s total:2.01s | CPU:87% RAM:88% GPU:N/A | ETA:21m31s
batch 107/814 (5350/40670) | decode:0.86s embed:2.05s db:0.06s total:2.13s | CPU:76% RAM:88% GPU:N/A | ETA:22m11s
batch 108/814 (5400/40670) | decode:0.69s embed:1.86s db:0.05s total:1.91s | CPU:79% RAM:87% GPU:N/A | ETA:22m14s
batch 109/814 (5450/40670) | decode:0.79s embed:1.86s db:0.03s total:1.90s | CPU:84% RAM:86% GPU:N/A | ETA:22m13s
batch 110/814 (5500/40670) | decode:1.27s embed:1.74s db:0.02s total:1.76s | CPU:77% RAM:86% GPU:N/A | ETA:21m53s
batch 111/814 (5550/40670) | decode:1.15s embed:1.61s db:0.04s total:1.64s | CPU:78% RAM:86% GPU:N/A | ETA:21m20s
batch 112/814 (5600/40670) | decode:1.04s embed:1.57s db:0.04s total:1.61s | CPU:71% RAM:86% GPU:N/A | ETA:20m48s
batch 113/814 (5650/40670) | decode:0.96s embed:1.66s db:0.03s total:1.69s | CPU:74% RAM:86% GPU:N/A | ETA:20m34s
batch 114/814 (5700/40670) | decode:1.07s embed:2.66s db:0.09s total:2.75s | CPU:71% RAM:87% GPU:N/A | ETA:22m51s
batch 115/814 (5750/40670) | decode:0.73s embed:2.79s db:0.07s total:2.86s | CPU:66% RAM:87% GPU:N/A | ETA:24m55s
batch 116/814 (5800/40670) | decode:0.83s embed:2.73s db:0.05s total:2.79s | CPU:64% RAM:86% GPU:N/A | ETA:26m24s
batch 117/814 (5850/40670) | decode:0.89s embed:2.80s db:0.09s total:2.89s | CPU:64% RAM:86% GPU:N/A | ETA:27m47s
batch 118/814 (5900/40670) | decode:1.42s embed:2.77s db:0.09s total:2.86s | CPU:65% RAM:86% GPU:N/A | ETA:28m50s
batch 119/814 (5950/40670) | decode:1.47s embed:2.88s db:0.07s total:2.96s | CPU:62% RAM:86% GPU:N/A | ETA:29m53s
batch 120/814 (6000/40670) | decode:1.43s embed:2.96s db:0.23s total:3.19s | CPU:62% RAM:86% GPU:N/A | ETA:31m15s
batch 121/814 (6050/40670) | decode:1.38s embed:2.92s db:0.06s total:2.98s | CPU:63% RAM:86% GPU:N/A | ETA:31m51s
batch 122/814 (6100/40670) | decode:1.48s embed:2.98s db:0.05s total:3.04s | CPU:66% RAM:86% GPU:N/A | ETA:32m26s
batch 123/814 (6150/40670) | decode:1.57s embed:3.05s db:0.07s total:3.12s | CPU:64% RAM:86% GPU:N/A | ETA:33m6s
batch 124/814 (6200/40670) | decode:1.56s embed:2.94s db:0.04s total:3.00s | CPU:64% RAM:86% GPU:N/A | ETA:33m20s
batch 125/814 (6250/40670) | decode:1.59s embed:3.04s db:0.04s total:3.09s | CPU:64% RAM:86% GPU:N/A | ETA:33m43s
batch 126/814 (6300/40670) | decode:1.55s embed:2.92s db:0.08s total:3.00s | CPU:63% RAM:86% GPU:N/A | ETA:33m48s
batch 127/814 (6350/40670) | decode:1.55s embed:2.93s db:0.06s total:2.99s | CPU:64% RAM:86% GPU:N/A | ETA:33m51s
batch 128/814 (6400/40670) | decode:1.61s embed:2.95s db:0.08s total:3.02s | CPU:62% RAM:86% GPU:N/A | ETA:33m58s
batch 129/814 (6450/40670) | decode:1.56s embed:2.94s db:0.07s total:3.02s | CPU:64% RAM:86% GPU:N/A | ETA:34m1s
batch 130/814 (6500/40670) | decode:1.60s embed:3.08s db:0.08s total:3.16s | CPU:61% RAM:86% GPU:N/A | ETA:34m22s
batch 131/814 (6550/40670) | decode:1.57s embed:3.01s db:0.10s total:3.11s | CPU:61% RAM:86% GPU:N/A | ETA:34m31s
batch 132/814 (6600/40670) | decode:1.62s embed:3.01s db:0.09s total:3.09s | CPU:62% RAM:86% GPU:N/A | ETA:34m36s
batch 133/814 (6650/40670) | decode:1.53s embed:2.94s db:0.09s total:3.02s | CPU:62% RAM:86% GPU:N/A | ETA:34m30s
batch 134/814 (6700/40670) | decode:1.62s embed:2.97s db:0.09s total:3.07s | CPU:63% RAM:86% GPU:N/A | ETA:34m31s
batch 135/814 (6750/40670) | decode:1.65s embed:3.07s db:0.08s total:3.15s | CPU:63% RAM:86% GPU:N/A | ETA:34m42s
batch 136/814 (6800/40670) | decode:1.52s embed:3.03s db:0.07s total:3.11s | CPU:62% RAM:86% GPU:N/A | ETA:34m44s
batch 137/814 (6850/40670) | decode:1.56s embed:2.85s db:0.08s total:2.92s | CPU:66% RAM:86% GPU:N/A | ETA:34m21s
batch 138/814 (6900/40670) | decode:1.63s embed:2.82s db:0.05s total:2.87s | CPU:66% RAM:86% GPU:N/A | ETA:33m54s
batch 139/814 (6950/40670) | decode:1.67s embed:2.83s db:0.06s total:2.89s | CPU:69% RAM:87% GPU:N/A | ETA:33m35s
batch 140/814 (7000/40670) | decode:1.55s embed:2.80s db:0.25s total:3.05s | CPU:63% RAM:87% GPU:N/A | ETA:33m41s
batch 141/814 (7050/40670) | decode:1.64s embed:2.73s db:0.04s total:2.77s | CPU:68% RAM:87% GPU:N/A | ETA:33m8s
batch 142/814 (7100/40670) | decode:1.46s embed:2.84s db:0.05s total:2.89s | CPU:66% RAM:87% GPU:N/A | ETA:32m55s
batch 143/814 (7150/40670) | decode:1.53s embed:3.03s db:0.07s total:3.10s | CPU:65% RAM:86% GPU:N/A | ETA:33m13s
batch 144/814 (7200/40670) | decode:1.44s embed:3.02s db:0.07s total:3.09s | CPU:65% RAM:87% GPU:N/A | ETA:33m26s
batch 145/814 (7250/40670) | decode:1.44s embed:2.97s db:0.05s total:3.03s | CPU:64% RAM:86% GPU:N/A | ETA:33m27s
batch 146/814 (7300/40670) | decode:1.52s embed:3.05s db:0.08s total:3.13s | CPU:62% RAM:86% GPU:N/A | ETA:33m41s
batch 147/814 (7350/40670) | decode:1.51s embed:3.00s db:0.07s total:3.08s | CPU:65% RAM:86% GPU:N/A | ETA:33m45s
batch 148/814 (7400/40670) | decode:1.55s embed:3.01s db:0.05s total:3.06s | CPU:64% RAM:86% GPU:N/A | ETA:33m46s
batch 149/814 (7450/40670) | decode:1.61s embed:3.01s db:0.08s total:3.08s | CPU:63% RAM:86% GPU:N/A | ETA:33m48s
batch 150/814 (7500/40670) | decode:1.65s embed:2.99s db:0.07s total:3.07s | CPU:62% RAM:86% GPU:N/A | ETA:33m47s
batch 151/814 (7550/40670) | decode:1.59s embed:3.02s db:0.06s total:3.08s | CPU:63% RAM:86% GPU:N/A | ETA:33m47s
batch 152/814 (7600/40670) | decode:1.63s embed:3.05s db:0.05s total:3.11s | CPU:64% RAM:86% GPU:N/A | ETA:33m50s
batch 153/814 (7650/40670) | decode:1.61s embed:3.10s db:0.05s total:3.15s | CPU:63% RAM:86% GPU:N/A | ETA:33m58s
batch 154/814 (7700/40670) | decode:1.67s embed:3.06s db:0.08s total:3.14s | CPU:63% RAM:86% GPU:N/A | ETA:34m2s
batch 155/814 (7750/40670) | decode:1.49s embed:3.06s db:0.08s total:3.15s | CPU:63% RAM:86% GPU:N/A | ETA:34m6s
batch 156/814 (7800/40670) | decode:1.63s embed:3.05s db:0.06s total:3.10s | CPU:61% RAM:86% GPU:N/A | ETA:34m3s
batch 157/814 (7850/40670) | decode:1.62s embed:3.04s db:0.11s total:3.15s | CPU:66% RAM:86% GPU:N/A | ETA:34m6s
batch 158/814 (7900/40670) | decode:1.67s embed:2.91s db:0.06s total:2.97s | CPU:69% RAM:86% GPU:N/A | ETA:33m44s
batch 159/814 (7950/40670) | decode:1.62s embed:2.99s db:0.08s total:3.07s | CPU:64% RAM:85% GPU:N/A | ETA:33m39s
batch 160/814 (8000/40670) | decode:1.71s embed:3.02s db:0.23s total:3.25s | CPU:62% RAM:86% GPU:N/A | ETA:33m58s
batch 161/814 (8050/40670) | decode:1.62s embed:2.91s db:0.04s total:2.95s | CPU:66% RAM:86% GPU:N/A | ETA:33m33s
batch 162/814 (8100/40670) | decode:1.54s embed:2.77s db:0.09s total:2.87s | CPU:64% RAM:86% GPU:N/A | ETA:33m1s
batch 163/814 (8150/40670) | decode:1.48s embed:2.99s db:0.08s total:3.07s | CPU:62% RAM:86% GPU:N/A | ETA:33m2s
batch 164/814 (8200/40670) | decode:1.66s embed:3.04s db:0.07s total:3.11s | CPU:64% RAM:86% GPU:N/A | ETA:33m7s
batch 165/814 (8250/40670) | decode:1.59s embed:3.02s db:0.07s total:3.09s | CPU:64% RAM:86% GPU:N/A | ETA:33m8s
batch 166/814 (8300/40670) | decode:1.44s embed:3.05s db:0.05s total:3.10s | CPU:64% RAM:86% GPU:N/A | ETA:33m10s
batch 167/814 (8350/40670) | decode:1.57s embed:3.01s db:0.09s total:3.09s | CPU:65% RAM:86% GPU:N/A | ETA:33m10s
batch 168/814 (8400/40670) | decode:1.56s embed:3.09s db:0.06s total:3.15s | CPU:63% RAM:86% GPU:N/A | ETA:33m16s
batch 169/814 (8450/40670) | decode:1.60s embed:3.07s db:0.07s total:3.15s | CPU:62% RAM:86% GPU:N/A | ETA:33m21s
batch 170/814 (8500/40670) | decode:1.57s embed:3.09s db:0.09s total:3.18s | CPU:62% RAM:86% GPU:N/A | ETA:33m27s
batch 171/814 (8550/40670) | decode:1.71s embed:3.07s db:0.05s total:3.12s | CPU:62% RAM:86% GPU:N/A | ETA:33m25s
batch 172/814 (8600/40670) | decode:1.60s embed:3.21s db:0.08s total:3.29s | CPU:61% RAM:86% GPU:N/A | ETA:33m43s
batch 173/814 (8650/40670) | decode:1.65s embed:3.11s db:0.08s total:3.19s | CPU:63% RAM:86% GPU:N/A | ETA:33m44s
batch 174/814 (8700/40670) | decode:1.68s embed:3.04s db:0.06s total:3.10s | CPU:61% RAM:86% GPU:N/A | ETA:33m34s
batch 175/814 (8750/40670) | decode:1.68s embed:3.03s db:0.10s total:3.13s | CPU:63% RAM:86% GPU:N/A | ETA:33m28s
batch 176/814 (8800/40670) | decode:1.68s embed:3.08s db:0.09s total:3.17s | CPU:67% RAM:85% GPU:N/A | ETA:33m28s
batch 177/814 (8850/40670) | decode:1.66s embed:3.03s db:0.08s total:3.11s | CPU:63% RAM:85% GPU:N/A | ETA:33m20s
batch 178/814 (8900/40670) | decode:1.64s embed:3.18s db:0.09s total:3.26s | CPU:63% RAM:85% GPU:N/A | ETA:33m33s
batch 179/814 (8950/40670) | decode:1.69s embed:3.09s db:0.10s total:3.18s | CPU:62% RAM:85% GPU:N/A | ETA:33m32s
batch 180/814 (9000/40670) | decode:1.66s embed:3.18s db:0.29s total:3.47s | CPU:60% RAM:85% GPU:N/A | ETA:34m7s
batch 181/814 (9050/40670) | decode:1.58s embed:2.91s db:0.04s total:2.94s | CPU:66% RAM:86% GPU:N/A | ETA:33m28s
batch 182/814 (9100/40670) | decode:1.70s embed:3.10s db:0.06s total:3.16s | CPU:63% RAM:85% GPU:N/A | ETA:33m22s
batch 183/814 (9150/40670) | decode:1.61s embed:3.05s db:0.08s total:3.13s | CPU:63% RAM:86% GPU:N/A | ETA:33m14s
batch 184/814 (9200/40670) | decode:1.68s embed:3.06s db:0.08s total:3.14s | CPU:64% RAM:85% GPU:N/A | ETA:33m9s
batch 185/814 (9250/40670) | decode:1.57s embed:3.02s db:0.05s total:3.08s | CPU:62% RAM:85% GPU:N/A | ETA:32m56s
batch 186/814 (9300/40670) | decode:1.64s embed:3.07s db:0.07s total:3.14s | CPU:64% RAM:85% GPU:N/A | ETA:32m52s
batch 187/814 (9350/40670) | decode:1.65s embed:2.91s db:0.05s total:2.96s | CPU:63% RAM:86% GPU:N/A | ETA:32m26s
batch 188/814 (9400/40670) | decode:1.61s embed:2.96s db:0.05s total:3.01s | CPU:63% RAM:86% GPU:N/A | ETA:32m11s
batch 189/814 (9450/40670) | decode:1.64s embed:2.70s db:0.09s total:2.79s | CPU:70% RAM:86% GPU:N/A | ETA:31m32s
batch 190/814 (9500/40670) | decode:1.59s embed:2.81s db:0.09s total:2.90s | CPU:66% RAM:86% GPU:N/A | ETA:31m13s
batch 191/814 (9550/40670) | decode:1.54s embed:2.81s db:0.08s total:2.89s | CPU:64% RAM:86% GPU:N/A | ETA:30m56s
batch 192/814 (9600/40670) | decode:1.52s embed:2.83s db:0.06s total:2.90s | CPU:68% RAM:87% GPU:N/A | ETA:30m43s
